feature_config,fold,baseline,accuracy,precision,recall,f1,roc_auc
ALL,1,majority,0.47293447293447294,0.0,0.0,0.0,
ALL,1,previous_day,0.5049857549857549,0.530446549391069,0.5297297297297298,0.5300878972278567,
ALL,2,majority,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,
ALL,2,previous_day,0.49111584932480457,0.48637015781922527,0.48637015781922527,0.48637015781922527,
ALL,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
ALL,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
TREND,1,majority,0.5266146202980837,0.5266146202980837,1.0,0.6899116689911668,
TREND,1,previous_day,0.5060326472675657,0.5309973045822103,0.5309973045822103,0.5309973045822103,
TREND,2,majority,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,
TREND,2,previous_day,0.49041873669268987,0.48567335243553006,0.48567335243553006,0.48567335243553006,
TREND,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
TREND,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
MOMENTUM,1,majority,0.47338537970191624,0.0,0.0,0.0,
MOMENTUM,1,previous_day,0.5053229240596168,0.5303643724696356,0.5296495956873315,0.5300067430883345,
MOMENTUM,2,majority,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,
MOMENTUM,2,previous_day,0.49041873669268987,0.48567335243553006,0.48567335243553006,0.48567335243553006,
MOMENTUM,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
MOMENTUM,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
VOLATILITY,1,majority,0.47338537970191624,0.0,0.0,0.0,
VOLATILITY,1,previous_day,0.5053229240596168,0.5303643724696356,0.5296495956873315,0.5300067430883345,
VOLATILITY,2,majority,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,
VOLATILITY,2,previous_day,0.49041873669268987,0.48567335243553006,0.48567335243553006,0.48567335243553006,
VOLATILITY,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
VOLATILITY,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
VOLUME,1,majority,0.47293447293447294,0.0,0.0,0.0,
VOLUME,1,previous_day,0.5049857549857549,0.530446549391069,0.5297297297297298,0.5300878972278567,
VOLUME,2,majority,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,
VOLUME,2,previous_day,0.49111584932480457,0.48637015781922527,0.48637015781922527,0.48637015781922527,
VOLUME,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
VOLUME,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
PRICE,1,majority,0.5266146202980837,0.5266146202980837,1.0,0.6899116689911668,
PRICE,1,previous_day,0.5060326472675657,0.5309973045822103,0.5309973045822103,0.5309973045822103,
PRICE,2,majority,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,
PRICE,2,previous_day,0.49041873669268987,0.48567335243553006,0.48567335243553006,0.48567335243553006,
PRICE,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
PRICE,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
TREND_MOMENTUM,1,majority,0.5266146202980837,0.5266146202980837,1.0,0.6899116689911668,
TREND_MOMENTUM,1,previous_day,0.5060326472675657,0.5309973045822103,0.5309973045822103,0.5309973045822103,
TREND_MOMENTUM,2,majority,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,
TREND_MOMENTUM,2,previous_day,0.49041873669268987,0.48567335243553006,0.48567335243553006,0.48567335243553006,
TREND_MOMENTUM,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
TREND_MOMENTUM,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
PRICE_VOLUME,1,majority,0.47293447293447294,0.0,0.0,0.0,
PRICE_VOLUME,1,previous_day,0.5049857549857549,0.530446549391069,0.5297297297297298,0.5300878972278567,
PRICE_VOLUME,2,majority,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,
PRICE_VOLUME,2,previous_day,0.49111584932480457,0.48637015781922527,0.48637015781922527,0.48637015781922527,
PRICE_VOLUME,3,majority,0.524485450674237,0.524485450674237,1.0,0.6880819366852886,
PRICE_VOLUME,3,previous_day,0.5088715400993612,0.5317997293640054,0.5317997293640054,0.5317997293640054,
