asset,model,fold,train_samples,validation_samples,fixed_threshold,dynamic_threshold,fixed_accuracy,dynamic_accuracy,fixed_precision,dynamic_precision,fixed_recall,dynamic_recall,fixed_f1,dynamic_f1,roc_auc,delta_recall,delta_f1,fixed_recall_below_35,dynamic_recall_below_35,fallback_used
reliance_ns,logistic_regression,1,887,925,0.5,0.2,0.44972972972972974,0.4843243243243243,0.6666666666666666,0.5307971014492754,0.007827788649706457,0.5733855185909981,0.015473887814313346,0.5512699905926622,0.49344375431331944,0.5655577299412916,0.5357961027783489,True,False,False
reliance_ns,random_forest,1,887,925,0.5,0.2,0.4745945945945946,0.5491891891891892,0.5874125874125874,0.5509761388286334,0.1643835616438356,0.9941291585127201,0.25688073394495414,0.7090020935101187,0.5070880248069051,0.8297455968688845,0.4521213595651645,True,False,False
reliance_ns,xgboost,1,887,925,0.5,0.23,0.46702702702702703,0.4918918918918919,0.5608108108108109,0.5352839931153184,0.162426614481409,0.6086105675146771,0.251896813353566,0.5695970695970696,0.4896196715732154,0.44618395303326813,0.31770025624350356,True,False,False
reliance_ns,logistic_regression,2,1812,936,0.5,0.2,0.5106837606837606,0.5010683760683761,0.5056689342403629,0.5005347593582887,0.9529914529914529,1.0,0.6607407407407407,0.6671418389166073,0.5112955657827453,0.047008547008547064,0.0064010981758665375,False,False,False
reliance_ns,random_forest,2,1812,936,0.5,0.2,0.5,0.5,0.5,0.5,0.4444444444444444,1.0,0.47058823529411764,0.6666666666666666,0.48824558039301635,0.5555555555555556,0.196078431372549,False,False,False
reliance_ns,xgboost,2,1812,936,0.5,0.22,0.5042735042735043,0.4967948717948718,0.5061728395061729,0.49817739975698666,0.3504273504273504,0.8760683760683761,0.41414141414141414,0.635166537567777,0.5012738330046022,0.5256410256410257,0.22102512342636282,False,False,False
reliance_ns,logistic_regression,3,2748,937,0.5,0.2,0.5048025613660619,0.48452508004268946,0.4931506849315068,0.48452508004268946,0.7929515418502202,1.0,0.6081081081081081,0.6527677929547089,0.5333771125764997,0.2070484581497798,0.04465968484660077,False,False,False
reliance_ns,random_forest,3,2748,937,0.5,0.21,0.5229455709711847,0.4855923159018143,0.5064220183486239,0.48504273504273504,0.6079295154185022,1.0,0.5525525525525525,0.6532374100719425,0.5321321403489571,0.39207048458149785,0.10068485751938994,False,False,False
reliance_ns,xgboost,3,2748,937,0.5,0.2,0.535752401280683,0.4855923159018143,0.516295025728988,0.48504273504273504,0.6629955947136564,1.0,0.5805207328833173,0.6532374100719425,0.5480978830911795,0.33700440528634357,0.07271667718862518,False,False,False
reliance_ns,logistic_regression,4,3685,939,0.5,0.21,0.5420660276890309,0.5303514376996805,0.5521472392638037,0.5303514376996805,0.7228915662650602,1.0,0.6260869565217392,0.6931106471816284,0.5262592319390942,0.27710843373493976,0.06702369065988922,False,False,False
reliance_ns,random_forest,4,3685,939,0.5,0.21,0.516506922257721,0.5303514376996805,0.5516431924882629,0.5303514376996805,0.4718875502008032,1.0,0.5086580086580087,0.6931106471816284,0.5241851760784635,0.5281124497991968,0.1844526385236197,False,False,False
reliance_ns,xgboost,4,3685,939,0.5,0.2,0.4984025559105431,0.5303514376996805,0.5323741007194245,0.5303514376996805,0.4457831325301205,1.0,0.4852459016393443,0.6931106471816284,0.5050997641359087,0.5542168674698795,0.20786474554228412,False,False,False
reliance_ns,logistic_regression,5,4624,939,0.5,0.2,0.5239616613418531,0.5143769968051118,0.5261627906976745,0.5143769968051118,0.7494824016563147,1.0,0.6182749786507259,0.679324894514768,0.5353056554429553,0.25051759834368525,0.06104991586404207,False,False,False
reliance_ns,random_forest,5,4624,939,0.5,0.21,0.5239616613418531,0.5143769968051118,0.5293159609120521,0.5143769968051118,0.6728778467908902,1.0,0.5925250683682771,0.679324894514768,0.5189808761033016,0.32712215320910976,0.08679982614649084,False,False,False
reliance_ns,xgboost,5,4624,939,0.5,0.2,0.5197018104366348,0.5143769968051118,0.5243161094224924,0.5143769968051118,0.7142857142857143,1.0,0.6047326906222612,0.679324894514768,0.5183611201917839,0.2857142857142857,0.07459220389250676,False,False,False
tcs_ns,logistic_regression,1,524,841,0.5,0.33,0.5005945303210464,0.4839476813317479,0.49115646258503404,0.4837935174069628,0.8869778869778869,0.9901719901719902,0.6322241681260946,0.65,0.507387991258959,0.10319410319410327,0.017775831873905412,False,False,False
tcs_ns,random_forest,1,524,841,0.5,0.24,0.5053507728894173,0.4839476813317479,0.4900662251655629,0.48390941597139453,0.5454545454545454,0.9975429975429976,0.5162790697674419,0.651685393258427,0.5093864287412675,0.45208845208845216,0.13540632349098514,False,False,False
tcs_ns,xgboost,1,524,841,0.5,0.2,0.4839476813317479,0.4803804994054697,0.4679334916864608,0.48157248157248156,0.48402948402948404,0.9631449631449631,0.4758454106280193,0.6420966420966421,0.4967617386972226,0.4791154791154791,0.16625123146862275,False,False,False
tcs_ns,logistic_regression,2,1365,842,0.5,0.26,0.501187648456057,0.5190023752969121,0.5370370370370371,0.5184743742550656,0.26605504587155965,0.9977064220183486,0.3558282208588957,0.6823529411764706,0.5450354770190265,0.7316513761467889,0.3265247203175749,True,False,False
tcs_ns,random_forest,2,1365,842,0.5,0.24,0.517814726840855,0.5190023752969121,0.5433526011560693,0.5184304399524375,0.43119266055045874,1.0,0.48081841432225064,0.682850430696946,0.5221533646676007,0.5688073394495412,0.2020320163746953,False,False,False
tcs_ns,xgboost,2,1365,842,0.5,0.2,0.5190023752969121,0.5344418052256532,0.5488958990536278,0.5268948655256723,0.39908256880733944,0.9885321100917431,0.46215139442231074,0.6874003189792663,0.5284720025308446,0.5894495412844036,0.2252489245569556,False,False,False
tcs_ns,logistic_regression,3,2207,841,0.5,0.3,0.5005945303210464,0.5231866825208086,0.5201900237529691,0.5215311004784688,0.5011441647597255,0.9977116704805492,0.5104895104895105,0.6849960722702279,0.512461200353445,0.49656750572082375,0.17450656178071733,False,False,False
tcs_ns,random_forest,3,2207,841,0.5,0.27,0.5136741973840666,0.5208085612366231,0.5419161676646707,0.5202380952380953,0.41418764302059496,1.0,0.4695201037613489,0.6844166014095536,0.5084821125133109,0.585812356979405,0.21489649764820473,False,False,False
tcs_ns,xgboost,3,2207,841,0.5,0.2,0.5124851367419738,0.5231866825208086,0.5348837209302325,0.5215311004784688,0.47368421052631576,0.9977116704805492,0.5024271844660194,0.6849960722702279,0.526955842037293,0.5240274599542334,0.18256888780420844,False,False,False
tcs_ns,logistic_regression,4,3048,843,0.5,0.35,0.5231316725978647,0.5255041518386714,0.5374015748031497,0.5238663484486874,0.6204545454545455,0.9977272727272727,0.5759493670886076,0.6870109546165885,0.525986916309497,0.3772727272727272,0.1110615875279809,False,False,False
tcs_ns,random_forest,4,3048,843,0.5,0.21,0.5195729537366548,0.5219454329774614,0.5404157043879908,0.5219454329774614,0.5318181818181819,1.0,0.5360824742268041,0.6858924395946999,0.527199413489736,0.46818181818181814,0.14980996536789581,False,False,False
tcs_ns,xgboost,4,3048,843,0.5,0.2,0.5088967971530249,0.5231316725978647,0.5314009661835749,0.5225653206650831,0.5,1.0,0.5152224824355972,0.6864274570982839,0.5206293706293705,0.5,0.1712049746626867,False,False,False
tcs_ns,logistic_regression,5,3891,843,0.5,0.28,0.5112692763938316,0.5195729537366548,0.5232774674115456,0.5190476190476191,0.6430205949656751,0.9977116704805492,0.5770020533880903,0.682850430696946,0.4929828318923245,0.3546910755148741,0.10584837730885566,False,False,False
