feature_config,feature_count,model,fold,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
ALL_EXCEPT_TREND,28,logistic_regression,1,0.5284900284900285,0.5278571428571428,0.9986486486486487,0.6906542056074766,0.4805051286225985,0.035523399943485856,0.006111099966801703
ALL_EXCEPT_TREND,28,random_forest,1,0.4964387464387464,0.5292035398230088,0.40405405405405403,0.4582375478927203,0.49186645229566917,0.6423734000418335,0.17013099999167025
ALL_EXCEPT_TREND,28,xgboost,1,0.47435897435897434,0.5384615384615384,0.01891891891891892,0.03655352480417755,0.5146002930641485,0.4457491000648588,0.009561200044117868
ALL_EXCEPT_TREND,28,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5091963545981772,0.02657129999715835,0.004558400018140674
ALL_EXCEPT_TREND,28,random_forest,2,0.5060412224591329,0.5008833922261484,0.8134863701578192,0.6200109349371241,0.5165154485016267,0.635416999924928,0.1949268999742344
ALL_EXCEPT_TREND,28,xgboost,2,0.5174129353233831,0.5079646017699115,0.8235294117647058,0.6283524904214559,0.5286539899367511,0.4855815999908373,0.011377900023944676
ALL_EXCEPT_TREND,28,logistic_regression,3,0.525195173882186,0.5248579545454546,1.0,0.6884024219841639,0.47770484519217166,0.037716299993917346,0.0028662000549957156
ALL_EXCEPT_TREND,28,random_forest,3,0.48332150461320084,0.6122448979591837,0.04059539918809202,0.07614213197969544,0.508429099428433,0.8829574000556022,0.225812999997288
ALL_EXCEPT_TREND,28,xgboost,3,0.48616039744499645,0.5742574257425742,0.07848443843031123,0.1380952380952381,0.505434936279361,0.4518646999495104,0.017545800074003637
ALL_EXCEPT_MOMENTUM,26,logistic_regression,1,0.5242165242165242,0.5260492040520984,0.9824324324324324,0.6852026390197926,0.4725985021165744,0.022907500038854778,0.00344180001411587
ALL_EXCEPT_MOMENTUM,26,random_forest,1,0.4793447293447293,0.5918367346938775,0.03918918918918919,0.07351077313054499,0.49659007652230547,0.4983337000012398,0.19580510002560914
ALL_EXCEPT_MOMENTUM,26,xgboost,1,0.4722222222222222,0.4444444444444444,0.005405405405405406,0.010680907877169559,0.5127401497883425,0.49972159997560084,0.016079400083981454
ALL_EXCEPT_MOMENTUM,26,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5348293491219916,0.02722449996508658,0.0036700000055134296
ALL_EXCEPT_MOMENTUM,26,random_forest,2,0.5088841506751954,0.5023400936037441,0.9239598278335724,0.650833754421425,0.5219976963647018,0.6100421999581158,0.14623860002029687
ALL_EXCEPT_MOMENTUM,26,xgboost,2,0.5159914712153518,0.5062794348508635,0.9253945480631277,0.654490106544901,0.5387414876634268,0.3856831999728456,0.010386999929323792
ALL_EXCEPT_MOMENTUM,26,logistic_regression,3,0.525195173882186,0.5250716332378224,0.9918809201623816,0.6866510538641686,0.4932623755377376,0.030542699969373643,0.00367569993250072
ALL_EXCEPT_MOMENTUM,26,random_forest,3,0.47764371894960966,0.5306122448979592,0.035182679296346414,0.06598984771573604,0.5005352129743704,0.8674326000036672,0.16347899998072535
ALL_EXCEPT_MOMENTUM,26,xgboost,3,0.4740951029098652,0.4946236559139785,0.12449255751014884,0.1989189189189189,0.508147355240038,0.4003530000336468,0.015819999971427023
ALL_EXCEPT_VOLATILITY,27,logistic_regression,1,0.5242165242165242,0.5260492040520984,0.9824324324324324,0.6852026390197926,0.4725985021165744,0.0192256000591442,0.004281400004401803
ALL_EXCEPT_VOLATILITY,27,random_forest,1,0.4707977207977208,0.4788732394366197,0.04594594594594595,0.08384710234278668,0.4932462959947899,0.4304524000035599,0.12531949998810887
ALL_EXCEPT_VOLATILITY,27,xgboost,1,0.47293447293447294,0.5,0.01756756756756757,0.033942558746736295,0.5085029306414849,0.33530399994924664,0.00923200009856373
ALL_EXCEPT_VOLATILITY,27,logistic_regression,2,0.4953802416488984,0.4953802416488984,1.0,0.6625475285171103,0.5348293491219916,0.028177699889056385,0.004573600017465651
ALL_EXCEPT_VOLATILITY,27,random_forest,2,0.511727078891258,0.5040983606557377,0.8823529411764706,0.6416275430359938,0.5188776850485987,0.6077660999726504,0.1396411000750959
ALL_EXCEPT_VOLATILITY,27,xgboost,2,0.5202558635394456,0.509016393442623,0.890961262553802,0.647887323943662,0.5220239658900316,0.40571530000306666,0.010011100093834102
ALL_EXCEPT_VOLATILITY,27,logistic_regression,3,0.525195173882186,0.5250716332378224,0.9918809201623816,0.6866510538641686,0.4932623755377376,0.030732500017620623,0.003953700070269406
ALL_EXCEPT_VOLATILITY,27,random_forest,3,0.48261178140525196,0.5609756097560976,0.06224627875507442,0.1120584652862363,0.499362793609759,0.7112643999280408,0.18151939997915179
ALL_EXCEPT_VOLATILITY,27,xgboost,3,0.48474095102909864,0.5448275862068965,0.10690121786197564,0.17873303167420815,0.49905075434734314,0.39660590002313256,0.011327799991704524
ALL_EXCEPT_VOLUME,27,logistic_regression,1,0.5259048970901349,0.5263532763532763,0.9959568733153639,0.6887232059645852,0.5284029144457421,0.007325900020077825,0.0034818999702110887
ALL_EXCEPT_VOLUME,27,random_forest,1,0.4918381831085876,0.6140350877192983,0.09433962264150944,0.16355140186915887,0.4949172987630174,0.4308964000083506,0.13404149992857128
ALL_EXCEPT_VOLUME,27,xgboost,1,0.48190205819730303,0.7142857142857143,0.026954177897574125,0.05194805194805195,0.513515479457037,0.39463350002188236,0.011203200090676546
ALL_EXCEPT_VOLUME,27,logistic_regression,2,0.49538679914833217,0.49538679914833217,1.0,0.6625533934504034,0.5235150460024421,0.009815400000661612,0.002715499955229461
ALL_EXCEPT_VOLUME,27,random_forest,2,0.5166784953867991,0.507981220657277,0.7750716332378224,0.6137266023823029,0.5291600675427885,0.5465307000558823,0.15367560007143766
ALL_EXCEPT_VOLUME,27,xgboost,2,0.5379701916252662,0.5227053140096618,0.7750716332378224,0.6243508366993653,0.5412329379904005,0.41020479996223,0.010001399903558195
ALL_EXCEPT_VOLUME,27,logistic_regression,3,0.47480482611781405,0.4864864864864865,0.02435723951285521,0.04639175257731959,0.5023428190576212,0.04264110000804067,0.0036251998972147703
ALL_EXCEPT_VOLUME,27,random_forest,3,0.49254790631653655,0.5714285714285714,0.12990527740189445,0.21168687982359427,0.5085896633207441,0.7271323000313714,0.14782720000948757
ALL_EXCEPT_VOLUME,27,xgboost,3,0.48261178140525196,0.5110619469026548,0.3125845737483085,0.3879093198992443,0.4851160301335003,0.4397854000562802,0.010496600065380335
