feature,importance,model,fold,config
VOLUME_SMA_20,4.438439072152629e-09,logistic_regression,1,ALL
VOLUME_EMA_20,3.6868985474882033e-09,logistic_regression,1,ALL
Volume,3.746123714286913e-10,logistic_regression,1,ALL
OBV,1.3608372297371877e-11,logistic_regression,1,ALL
RSI_14,9.758312169155125e-14,logistic_regression,1,ALL
ROC_12,3.812085850223643e-14,logistic_regression,1,ALL
Close,3.3641879146824835e-14,logistic_regression,1,ALL
High,3.261538416949069e-14,logistic_regression,1,ALL
Low,3.183151135143247e-14,logistic_regression,1,ALL
Open,3.166335025609e-14,logistic_regression,1,ALL
EMA_20,2.7303572546977218e-14,logistic_regression,1,ALL
SMA_20,2.6189979218162283e-14,logistic_regression,1,ALL
EMA_50,2.3891402937753403e-14,logistic_regression,1,ALL
SMA_50,2.3515149210770046e-14,logistic_regression,1,ALL
Adj Close,2.343522307324654e-14,logistic_regression,1,ALL
MOMENTUM_20,1.033837940573642e-14,logistic_regression,1,ALL
MOMENTUM_10,6.3963049925487024e-15,logistic_regression,1,ALL
OPEN_CLOSE_PCT,5.780546146643245e-15,logistic_regression,1,ALL
GAP_PCT,3.0996157013185822e-15,logistic_regression,1,ALL
PRICE_CHANGE_PCT,2.7990578298612344e-15,logistic_regression,1,ALL
VOLUME_CHANGE_PCT,2.687741406599869e-15,logistic_regression,1,ALL
DAILY_RANGE_PCT,2.3924817623522087e-15,logistic_regression,1,ALL
HIGH_LOW_PCT,2.3924817623522087e-15,logistic_regression,1,ALL
VOLUME_RATIO,1.772412834820083e-15,logistic_regression,1,ALL
LOWER_WICK,1.2420362068976637e-15,logistic_regression,1,ALL
ATR_14,1.207272745814424e-15,logistic_regression,1,ALL
TRUE_RANGE,9.334427984641268e-16,logistic_regression,1,ALL
BODY_SIZE,8.418657137452989e-16,logistic_regression,1,ALL
ROLLING_STD_20,6.263581789951871e-16,logistic_regression,1,ALL
UPPER_WICK,3.837023249057032e-16,logistic_regression,1,ALL
HIST_VOL_20,3.6586509569622247e-16,logistic_regression,1,ALL
DAILY_RETURN,2.7990578298612786e-17,logistic_regression,1,ALL
GAP_PCT,0.0395133218430129,random_forest,1,ALL
ROC_12,0.03762044338413964,random_forest,1,ALL
VOLUME_RATIO,0.03688632347142002,random_forest,1,ALL
LOWER_WICK,0.03672194796261656,random_forest,1,ALL
ROLLING_STD_20,0.03655551026209877,random_forest,1,ALL
VOLUME_CHANGE_PCT,0.03598855849812174,random_forest,1,ALL
ATR_14,0.035871397357306024,random_forest,1,ALL
VOLUME_SMA_20,0.03586105288371392,random_forest,1,ALL
VOLUME_EMA_20,0.03571137072445994,random_forest,1,ALL
RSI_14,0.034914603697932776,random_forest,1,ALL
HIST_VOL_20,0.03488092537077534,random_forest,1,ALL
MOMENTUM_20,0.03473810705628802,random_forest,1,ALL
OBV,0.03289677371249809,random_forest,1,ALL
MOMENTUM_10,0.03229241997149349,random_forest,1,ALL
