fold,cost_bps,cost_pct,cum_return_interp_a_pct,cum_return_interp_b1_pct
1,0.0,0.0,-75.69994676704069,-9.29870516244804
1,5.0,0.05,-82.78528845461281,-12.86625264277339
1,10.0,0.1,-87.80683118102867,-16.295169592121695
1,20.0,0.2,-93.88603584710704,-22.758195062175922
1,50.0,0.5,-99.23243132623597,-39.33383633489791
2,0.0,0.0,7931.0536700828125,157.6589245210854
2,5.0,0.05,7539.808163236441,153.17338887424583
2,10.0,0.1,7167.44786279901,148.76380248465372
2,20.0,0.2,6475.81315819543,140.16749849990015
2,50.0,0.5,4768.555601571862,116.0754324325668
3,0.0,0.0,3280.2306655921752,70.94270147001716
3,5.0,0.05,2910.4596141755865,67.26391255754938
3,10.0,0.1,2580.985270492331,63.662529348826084
3,20.0,0.2,2025.9010080118692,56.68564580677409
3,50.0,0.5,958.4979223844476,37.45363927955132
4,0.0,0.0,6082.945078864104,85.4711930725368
4,5.0,0.05,5334.072626954431,80.94180772129143
4,10.0,0.1,4675.598350058484,76.52087081155683
4,20.0,0.2,3587.646727963977,67.99422175061784
4,50.0,0.5,1595.2990694099665,44.76410591011168
5,0.0,0.0,2976.422001231307,39.66759287263633
5,5.0,0.05,2511.031080627695,35.897103726077795
5,10.0,0.1,2115.8623352334566,32.22659812475659
5,20.0,0.2,1495.5040298213812,25.175190534762116
5,50.0,0.5,494.4427571609756,6.163115241312345
