model,config_id,total_folds,mean_roc_auc,mean_pr_auc,mean_mcc,mean_f1,mean_ppr,mean_return_spread_pct
logistic_regression,C0,25,0.5074015895961734,0.5691720194641069,0.009031589259646195,0.5322071631768671,0.618054858877818,0.16489582009522852
logistic_regression,C5,25,0.5221460733263545,0.5843194239743293,0.01806769729133809,0.479646286581872,0.49013516439954186,0.9940967204243912
logistic_regression,C57,25,0.5193328112126898,0.5816016702830109,0.015948910640568883,0.4805706411908304,0.49035469503173773,0.8668797188177112
logistic_regression,C7,25,0.5072220708648504,0.5689420803822628,0.019309855766111435,0.5369866882619894,0.6096423567094488,0.42309776235347607
logistic_regression,C8,25,0.5253265301327379,0.592464776049867,0.02900903902317299,0.4939018501733566,0.511909316092203,0.8798702207741973
random_forest,C0,25,0.5261264058586788,0.5914126104666814,0.046351328454087286,0.5204919166111546,0.48265585947323336,0.5708462252600993
random_forest,C5,25,0.5369431546519753,0.6006733154199735,0.04714597591441445,0.5222224839483238,0.4840847132623938,0.7696153599253177
random_forest,C57,25,0.5389666573697253,0.6014736980072486,0.052478249167870146,0.5261335445083654,0.48940549840314823,0.7118376148591005
random_forest,C7,25,0.5331224959389804,0.5942094846339214,0.049891226999443816,0.5216310278469141,0.4843823862054817,0.7088071013643735
random_forest,C8,25,0.5342858269665625,0.5994323180717535,0.04302634645802858,0.5510177866946729,0.5307835267850922,0.5004143066893862
xgboost,C0,25,0.529507800650102,0.5956036278875176,0.040934079071202556,0.4998544550443523,0.45513866207001596,0.5510771614261714
xgboost,C5,25,0.5361170092030129,0.5996239195116275,0.04296896091557993,0.5224780104170575,0.49022271919674915,0.5743444849569359
xgboost,C57,25,0.5339407932595495,0.5972276367968066,0.04141208580700781,0.5231352859556297,0.4921497058268599,0.5539148546591959
xgboost,C7,25,0.5355343974422475,0.5979962708775937,0.05031851805792062,0.5102160214599829,0.4663126841698135,0.7206061979459593
xgboost,C8,25,0.524019780176753,0.5912627638711782,0.01875772971991473,0.532451184039483,0.5133900653443738,0.24022661048726124
