strategy,fold,roc_auc,mcc,precision,cum_return_pct,total_trades,win_rate_pct,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate A: Baseline P(up) >= 0.55,1,0.5389127002030227,-0.007704149628544736,0.5201511335012594,-25.378525942062698,84,45.23809523809524,0.9728880820204199,-0.07862118014666225,-0.0005457038972137434,67.57522924120184
Candidate B1: P(up) >= 0.60,1,0.5389127002030227,-0.007704149628544736,0.5198358413132695,-27.551889654967965,83,46.98795180722892,0.9485540669672616,-0.13922007759598626,-0.02351812044220218,66.69682531745632
Candidate B2: P(up) >= 0.65,1,0.5389127002030227,-0.007704149628544736,0.5296950240770465,-26.593988095346678,80,53.75,0.9217047783087943,-0.19198517033597629,-0.01984587006039645,64.58506648647521
Candidate B3: P(up) >= 0.70,1,0.5389127002030227,-0.007704149628544736,0.5613305613305614,-22.45642756786269,71,49.29577464788733,0.9529686622585275,-0.1247113308417166,0.010671716333073669,60.80815754257891
Candidate C: Combined P(up) >= 0.55 & ExpRet > 1.0%,1,0.5389127002030227,-0.007704149628544736,0.5217391304347826,-20.5721522799729,84,47.61904761904761,0.9850953458555508,-0.038671394024248754,0.039651414800982686,68.85895586421753
Candidate D: Cost-Adjusted ExpRet - 10bps > 0.5%,1,0.5389127002030227,-0.007704149628544736,0.522673031026253,-26.69899470821659,85,47.05882352941176,0.9431691151032291,-0.14614383516943033,-0.013069264507419241,68.0642711794128
Candidate E: Expected Value Score > 0.8%,1,0.5389127002030227,-0.007704149628544736,0.5233160621761658,-18.879273695672747,84,47.61904761904761,0.9940936540749117,-0.015193499577692999,0.05488935951385404,68.85895586421755
Candidate A: Baseline P(up) >= 0.55,2,0.5767402733964249,0.15093096146528862,0.8253968253968254,174.11411473411334,20,80.0,30.24050451163757,5.2883826760849235,1.6816043364830717,9.904995146699575
Candidate B1: P(up) >= 0.60,2,0.5767402733964249,0.15093096146528862,0.9259259259259259,74.89935698661255,8,87.5,50.794020652685575,7.397285908301546,1.202115333549289,10.812094661524018
Candidate B2: P(up) >= 0.65,2,0.5767402733964249,0.15093096146528862,1.0,24.963760025441793,3,100.0,99.0,7.717293085064869,1.056955639776781,3.848729229592216
Candidate B3: P(up) >= 0.70,2,0.5767402733964249,0.15093096146528862,1.0,22.39615047746347,2,100.0,99.0,10.672971877492637,1.213484951289025,2.355178720765
Candidate C: Combined P(up) >= 0.55 & ExpRet > 1.0%,2,0.5767402733964249,0.15093096146528862,0.9375,32.34607939367497,3,100.0,99.0,10.008208304164352,0.8050228052679554,7.714477251697927
Candidate D: Cost-Adjusted ExpRet - 10bps > 0.5%,2,0.5767402733964249,0.15093096146528862,0.8333333333333334,17.27931601929081,5,80.0,2.3714361901741556,3.650889525456284,0.40723780501565243,16.05161891480251
Candidate E: Expected Value Score > 0.8%,2,0.5767402733964249,0.15093096146528862,0.8888888888888888,21.435945472808264,3,100.0,99.0,6.719731036624566,0.5277834812219449,16.05161891480251
Candidate A: Baseline P(up) >= 0.55,3,0.5999486609052793,0.13458757721863437,0.6626016260162602,57.653060902943686,45,55.55555555555556,2.276160164701724,1.082370954946563,0.8866577478178242,17.192179402079233
Candidate B1: P(up) >= 0.60,3,0.5999486609052793,0.13458757721863437,0.8214285714285714,80.87720006039405,26,69.23076923076923,5.3801086025629274,2.396975286683633,1.524188118234948,11.44312710819519
