strategy,fold,trade_id,allocated_cash,position_weight,net_return_pct,net_pnl,is_win
Candidate 1: Baseline C59 (Fixed 100% Size),1,1,100000.0,1.0,3.506061576548527,3506.061576548527,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,2,103506.06157654853,1.0,8.867857142857142,9178.769674806072,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,3,112684.8312513546,1.0,2.2419103171362926,2526.29285767174,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,4,115211.12410902634,1.0,-6.650095539108915,-7661.6498249315955,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,5,107549.47428409474,1.0,0.9634215231940824,1036.1547833350535,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,6,108585.62906742979,1.0,-0.8202009058917569,-890.620313279322,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,7,107695.00875415048,1.0,4.864876908052885,5239.229612006199,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,8,112934.23836615667,1.0,11.744441720257061,13263.49580712946,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,9,126197.73417328612,1.0,2.138849567917158,2699.179692086574,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,10,128896.9138653727,1.0,1.904391849230437,2454.7023215617346,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,11,131351.61618693444,1.0,0.7414116061328017,973.8561272529437,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,12,132325.47231418738,1.0,-5.79033851446468,-7662.092787855689,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,13,124663.3795263317,1.0,-5.292544025811025,-6597.864245494992,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,14,118065.51528083671,1.0,-6.169732441471571,-7284.326398472358,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,15,110781.18888236435,1.0,7.794466842342675,8634.8030349889,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,16,119415.99191735325,1.0,3.1630402384500744,3777.1758754901725,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,17,123193.16779284342,1.0,0.6147255932919244,757.2999316096727,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,18,123950.46772445309,1.0,2.9413394496058847,3645.804005150348,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,19,127596.27172960344,1.0,2.5356191963138346,3235.3555597565874,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,20,130831.62728936003,1.0,-1.3309616726826459,-1741.318814968391,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,21,129090.30847439164,1.0,6.683272597768281,8627.457212643561,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,22,137717.7656870352,1.0,3.7229629747573845,5127.18142619145,1
Candidate 1: Baseline C59 (Fixed 100% Size),1,23,142844.94711322663,1.0,-3.6489942399364406,-5212.403892201895,0
Candidate 1: Baseline C59 (Fixed 100% Size),1,24,137632.54322102474,1.0,2.5404118710538377,3496.4334664202165,1
