strategy,fold,cum_return_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,expectancy_pct,daily_sharpe,max_drawdown_pct
Candidate 1: Control Baseline (Fixed 10D),1,-28.200533085447343,84,47.61904761904761,5.056319373716465,-4.935552470869626,1.0244687709348899,0.9313352463044454,-0.1775182591619636,-0.02858994874917503,68.06427117941283
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,2.379840009406078,156,73.71794871794873,2.8507462041880585,-7.351445313573662,0.38778037278254096,1.0876766553656636,0.16940099759683708,0.21273154030572286,61.74243101083181
Candidate 3: ATR Protective Stop (1.5x ATR14),1,-50.659164000075684,108,40.74074074074074,6.675943384528152,-5.2803786960285075,1.2642925382509553,0.8692011200475319,-0.40928451506097974,-0.2949141863863872,76.66176811878822
Candidate 4: Trailing ATR Exit (1.5x ATR14),1,-85.95423405826405,134,25.37313432835821,6.248524605620889,-3.8759835289594813,1.6121133020651208,0.5481185227021411,-1.3070784798868507,-1.1846061150283893,90.11060039885828
Candidate 5: Model Probability Deterioration,1,-30.628137857303678,102,59.80392156862745,4.016571134854584,-6.269121526355736,0.6406912225211612,0.9532235261900203,-0.11787395445544682,-0.06384574887308564,64.91919711926072
Candidate 6: Expected Return Decay Exit,1,-25.846334373190082,139,51.07913669064749,3.4047947171367268,-3.700165054598407,0.9201737400620531,0.9607696403589084,-0.0710129409783031,-0.011869887496083833,65.68419925176178
Candidate 7: Combined Adaptive Exit,1,-66.67393289131194,231,64.5021645021645,2.785861482510041,-6.078124908862514,0.4583422559230358,0.8328414162503943,-0.3606618252499136,-0.649187244620677,82.56825441710994
Candidate 1: Control Baseline (Fixed 10D),2,225.8499363425031,38,71.05263157894737,6.592547680378556,-4.55458970379974,1.4474514959884568,3.5528354901534844,3.365744753379576,1.6373065290174453,24.761090112833248
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,2,124.25569055481505,55,83.63636363636363,2.8755074295817793,-5.274791409374181,0.5451414485265758,2.786278514691387,1.5418221650253492,1.4972024525990857,24.97761523414839
Candidate 3: ATR Protective Stop (1.5x ATR14),2,274.6387110271256,43,67.44186046511628,6.588137590668521,-3.5537067603252517,1.8538776649274078,3.8401751630639165,3.286141755461246,1.8620330567697665,12.662859699937215
Candidate 4: Trailing ATR Exit (1.5x ATR14),2,94.32873332140107,47,51.06382978723404,5.923255115152689,-2.988756755226607,1.981845830977834,2.068013041020348,1.5620578168819694,1.0780629593668127,25.491934769967315
Candidate 5: Model Probability Deterioration,2,128.98619847387326,59,57.6271186440678,3.4863227184039447,-1.261051187250888,2.76461634043911,3.759878222997189,1.4747236058383375,1.5805764504878141,12.179127863196042
Candidate 6: Expected Return Decay Exit,2,157.92006037023432,65,64.61538461538461,3.3038190152628837,-1.697255471228662,1.9465655414097516,3.5545979451830245,1.5342080431197214,1.6974278980012183,14.790733444685522
Candidate 7: Combined Adaptive Exit,2,77.84525943325573,70,61.42857142857143,2.3238779250055925,-1.4994114689361524,1.5498600438573458,2.46829562540244,0.8491805873423481,1.3940785764440542,12.1003053182662
Candidate 1: Control Baseline (Fixed 10D),3,47.143537752452744,40,57.49999999999999,3.7321915639648826,-2.563150828183118,1.4560951789990586,1.9700111245281384,1.056671047301982,0.7964155165111664,16.89055584766597
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,3,52.6703228663388,54,66.66666666666666,2.5528038037967455,-2.6207249535287342,0.9740830682592102,1.9481661365184206,0.8282942180215855,0.9350561919904269,16.72484439857146
Candidate 3: ATR Protective Stop (1.5x ATR14),3,52.39391689161953,51,50.98039215686274,4.421948359073597,-2.716150435300437,1.628020415071185,1.6931412316740324,0.9228803226157372,0.8839683123400981,18.960671636333725
Candidate 4: Trailing ATR Exit (1.5x ATR14),3,29.41260657863227,59,47.45762711864407,3.539146457707333,-2.2500649285919843,1.572908591540962,1.4206916310692561,0.49735742422803025,0.614094772459252,16.178173002949634
Candidate 5: Model Probability Deterioration,3,50.67076169079778,57,68.42105263157895,2.0217951288734897,-1.9959262859212734,1.0129608208152214,2.194748445099647,0.7530409978856699,1.0995806547196014,15.141817045092592
Candidate 6: Expected Return Decay Exit,3,42.12138655542504,56,64.28571428571429,2.2430625190436992,-2.159115491475181,1.0388802858855701,1.8699845145940264,0.6708560867155274,0.8484717497963754,15.503697214039747
Candidate 7: Combined Adaptive Exit,3,67.49567793038781,82,68.29268292682927,2.0113234775917803,-2.256372038175564,0.8913970939021552,1.9199322022507954,0.6581517286899393,1.3714075364759328,13.816138334116213
