strategy,fold,trade_id,holding_period,exit_reason,net_return_pct,net_pnl,is_win
Candidate 1: Control Baseline (Fixed 10D),1,1,10,TIME_LIMIT_10D,3.506061576548527,3506.061576548527,1
Candidate 1: Control Baseline (Fixed 10D),1,2,10,TIME_LIMIT_10D,8.867857142857142,9178.769674806072,1
Candidate 1: Control Baseline (Fixed 10D),1,3,10,TIME_LIMIT_10D,2.2419103171362926,2526.29285767174,1
Candidate 1: Control Baseline (Fixed 10D),1,4,10,TIME_LIMIT_10D,-6.650095539108915,-7661.6498249315955,0
Candidate 1: Control Baseline (Fixed 10D),1,5,10,TIME_LIMIT_10D,0.9634215231940824,1036.1547833350535,1
Candidate 1: Control Baseline (Fixed 10D),1,6,10,TIME_LIMIT_10D,-0.8202009058917569,-890.620313279322,0
Candidate 1: Control Baseline (Fixed 10D),1,7,10,TIME_LIMIT_10D,4.864876908052885,5239.229612006199,1
Candidate 1: Control Baseline (Fixed 10D),1,8,10,TIME_LIMIT_10D,11.744441720257061,13263.49580712946,1
Candidate 1: Control Baseline (Fixed 10D),1,9,10,TIME_LIMIT_10D,2.138849567917158,2699.179692086574,1
Candidate 1: Control Baseline (Fixed 10D),1,10,10,TIME_LIMIT_10D,1.904391849230437,2454.7023215617346,1
Candidate 1: Control Baseline (Fixed 10D),1,11,10,TIME_LIMIT_10D,0.7414116061328017,973.8561272529437,1
Candidate 1: Control Baseline (Fixed 10D),1,12,10,TIME_LIMIT_10D,-5.79033851446468,-7662.092787855689,0
Candidate 1: Control Baseline (Fixed 10D),1,13,10,TIME_LIMIT_10D,-5.292544025811025,-6597.864245494992,0
Candidate 1: Control Baseline (Fixed 10D),1,14,10,TIME_LIMIT_10D,-6.169732441471571,-7284.326398472358,0
Candidate 1: Control Baseline (Fixed 10D),1,15,10,TIME_LIMIT_10D,7.794466842342675,8634.8030349889,1
Candidate 1: Control Baseline (Fixed 10D),1,16,10,TIME_LIMIT_10D,3.1630402384500744,3777.1758754901725,1
Candidate 1: Control Baseline (Fixed 10D),1,17,10,TIME_LIMIT_10D,0.6147255932919244,757.2999316096727,1
Candidate 1: Control Baseline (Fixed 10D),1,18,10,TIME_LIMIT_10D,2.9413394496058847,3645.804005150348,1
Candidate 1: Control Baseline (Fixed 10D),1,19,10,TIME_LIMIT_10D,2.5356191963138346,3235.3555597565874,1
Candidate 1: Control Baseline (Fixed 10D),1,20,10,TIME_LIMIT_10D,-1.3309616726826459,-1741.318814968391,0
Candidate 1: Control Baseline (Fixed 10D),1,21,10,TIME_LIMIT_10D,6.683272597768281,8627.457212643561,1
Candidate 1: Control Baseline (Fixed 10D),1,22,10,TIME_LIMIT_10D,3.7229629747573845,5127.18142619145,1
Candidate 1: Control Baseline (Fixed 10D),1,23,10,TIME_LIMIT_10D,-3.6489942399364406,-5212.403892201895,0
Candidate 1: Control Baseline (Fixed 10D),1,24,10,TIME_LIMIT_10D,2.5404118710538377,3496.4334664202165,1
Candidate 1: Control Baseline (Fixed 10D),1,25,10,TIME_LIMIT_10D,8.492955222829172,11986.020796501722,1
Candidate 1: Control Baseline (Fixed 10D),1,26,10,TIME_LIMIT_10D,-2.5484697513279833,-3902.089395624984,0
Candidate 1: Control Baseline (Fixed 10D),1,27,10,TIME_LIMIT_10D,7.503150533681496,11195.669109550588,1
Candidate 1: Control Baseline (Fixed 10D),1,28,10,TIME_LIMIT_10D,2.6802750902334473,4299.39113723246,1
Candidate 1: Control Baseline (Fixed 10D),1,29,10,TIME_LIMIT_10D,-0.08076108344159005,-133.01993974206164,0
Candidate 1: Control Baseline (Fixed 10D),1,30,10,TIME_LIMIT_10D,-1.2194931073616089,-2006.9801521253726,0
Candidate 1: Control Baseline (Fixed 10D),1,31,10,TIME_LIMIT_10D,-7.262665309791042,-11806.767434433712,0
Candidate 1: Control Baseline (Fixed 10D),1,32,10,TIME_LIMIT_10D,6.20346938604105,9352.424938202,1
Candidate 1: Control Baseline (Fixed 10D),1,33,10,TIME_LIMIT_10D,-5.8401143472215375,-9350.81882910747,0
Candidate 1: Control Baseline (Fixed 10D),1,34,10,TIME_LIMIT_10D,5.207873535478182,7851.536322821284,1
Candidate 1: Control Baseline (Fixed 10D),1,35,10,TIME_LIMIT_10D,0.6069633218343713,962.7308866396418,1
Candidate 1: Control Baseline (Fixed 10D),1,36,10,TIME_LIMIT_10D,-2.931638940982372,-4678.223645997963,0
Candidate 1: Control Baseline (Fixed 10D),1,37,10,TIME_LIMIT_10D,-1.9345894578030913,-2996.6568316705843,0
Candidate 1: Control Baseline (Fixed 10D),1,38,10,TIME_LIMIT_10D,-4.073510768520017,-6187.752215938272,0
Candidate 1: Control Baseline (Fixed 10D),1,39,10,TIME_LIMIT_10D,-2.8903124473834865,-4211.602638395061,0
Candidate 1: Control Baseline (Fixed 10D),1,40,10,TIME_LIMIT_10D,2.3939584071057998,3387.51910563482,1
Candidate 1: Control Baseline (Fixed 10D),1,41,10,TIME_LIMIT_10D,-0.05245522134571706,-76.00255794556699,0
Candidate 1: Control Baseline (Fixed 10D),1,42,10,TIME_LIMIT_10D,-2.3506267993045062,-3404.0450459337067,0
Candidate 1: Control Baseline (Fixed 10D),1,43,10,TIME_LIMIT_10D,-8.819431487692851,-12471.585433187724,0
Candidate 1: Control Baseline (Fixed 10D),1,44,10,TIME_LIMIT_10D,-1.649437803245513,-2126.7640709283005,0
Candidate 1: Control Baseline (Fixed 10D),1,45,10,TIME_LIMIT_10D,2.3738947413968736,3010.382468727213,1
Candidate 1: Control Baseline (Fixed 10D),1,46,10,TIME_LIMIT_10D,2.89963968292097,3764.3801825148244,1
Candidate 1: Control Baseline (Fixed 10D),1,47,10,TIME_LIMIT_10D,-2.1874649617209365,-2922.1627688537696,0
Candidate 1: Control Baseline (Fixed 10D),1,48,10,TIME_LIMIT_10D,-5.80598348073223,-7586.362807984192,0
Candidate 1: Control Baseline (Fixed 10D),1,49,10,TIME_LIMIT_10D,-2.9971163024827394,-3688.7967330858314,0
Candidate 1: Control Baseline (Fixed 10D),1,50,10,TIME_LIMIT_10D,10.467491766018037,12497.07573323266,1
Candidate 1: Control Baseline (Fixed 10D),1,51,10,TIME_LIMIT_10D,4.32808928020215,5708.164467340615,1
Candidate 1: Control Baseline (Fixed 10D),1,52,10,TIME_LIMIT_10D,-11.069463005004476,-15230.987919434046,0
Candidate 1: Control Baseline (Fixed 10D),1,53,10,TIME_LIMIT_10D,-19.07174472259201,-23336.883612632657,0
Candidate 1: Control Baseline (Fixed 10D),1,54,10,TIME_LIMIT_10D,19.224609535167232,19037.509829881332,1
Candidate 1: Control Baseline (Fixed 10D),1,55,10,TIME_LIMIT_10D,-8.42630507583333,-9948.456387436496,0
Candidate 1: Control Baseline (Fixed 10D),1,56,10,TIME_LIMIT_10D,-1.9999799140690264,-2162.2947488356986,0
Candidate 1: Control Baseline (Fixed 10D),1,57,10,TIME_LIMIT_10D,-5.60799095047901,-5941.86428979303,0
Candidate 1: Control Baseline (Fixed 10D),1,58,10,TIME_LIMIT_10D,7.465291918334669,7466.162685410126,1
Candidate 1: Control Baseline (Fixed 10D),1,59,10,TIME_LIMIT_10D,1.5365777758758918,1651.4804020175684,1
Candidate 1: Control Baseline (Fixed 10D),1,60,10,TIME_LIMIT_10D,8.85744327228786,9666.066487012533,1
Candidate 1: Control Baseline (Fixed 10D),1,61,10,TIME_LIMIT_10D,-0.6786786253272886,-806.2388097298333,0
Candidate 1: Control Baseline (Fixed 10D),1,62,10,TIME_LIMIT_10D,2.051511282883194,2420.5604165134846,1
Candidate 1: Control Baseline (Fixed 10D),1,63,10,TIME_LIMIT_10D,-9.648925797385779,-11618.242160833002,0
Candidate 1: Control Baseline (Fixed 10D),1,64,10,TIME_LIMIT_10D,-3.626872253417969,-3945.7270311812836,0
Candidate 1: Control Baseline (Fixed 10D),1,65,10,TIME_LIMIT_10D,-8.659694425947503,-9079.31950722596,0
Candidate 1: Control Baseline (Fixed 10D),1,66,10,TIME_LIMIT_10D,6.341046919885095,6072.59278161345,1
Candidate 1: Control Baseline (Fixed 10D),1,67,10,TIME_LIMIT_10D,-0.1658995868276799,-168.9504793505625,0
Candidate 1: Control Baseline (Fixed 10D),1,68,10,TIME_LIMIT_10D,-2.61788282436885,-2661.6027500597506,0
Candidate 1: Control Baseline (Fixed 10D),1,69,10,TIME_LIMIT_10D,-6.446766290288218,-6382.843136791598,0
Candidate 1: Control Baseline (Fixed 10D),1,70,10,TIME_LIMIT_10D,-18.56691823808526,-17197.71999585913,0
Candidate 1: Control Baseline (Fixed 10D),1,71,10,TIME_LIMIT_10D,-12.490826514459425,-9421.566022571214,0
Candidate 1: Control Baseline (Fixed 10D),1,72,10,TIME_LIMIT_10D,-1.1300820957165252,-745.9255714262706,0
Candidate 1: Control Baseline (Fixed 10D),1,73,10,TIME_LIMIT_10D,-3.5384186046511634,-2309.185834805798,0
Candidate 1: Control Baseline (Fixed 10D),1,74,10,TIME_LIMIT_10D,2.565920156137102,1615.2776750582882,1
Candidate 1: Control Baseline (Fixed 10D),1,75,10,TIME_LIMIT_10D,-10.514645838005803,-6788.9370547731405,0
Candidate 1: Control Baseline (Fixed 10D),1,76,10,TIME_LIMIT_10D,4.295348949621123,2481.7472280991105,1
Candidate 1: Control Baseline (Fixed 10D),1,77,10,TIME_LIMIT_10D,0.3911824713592246,235.72379364547982,1
Candidate 1: Control Baseline (Fixed 10D),1,78,10,TIME_LIMIT_10D,-0.27954945633307854,-169.11349203057563,0
Candidate 1: Control Baseline (Fixed 10D),1,79,10,TIME_LIMIT_10D,-3.017956570834085,-1820.6095785335083,0
Candidate 1: Control Baseline (Fixed 10D),1,80,10,TIME_LIMIT_10D,-5.185072064878768,-3033.5416686752214,0
Candidate 1: Control Baseline (Fixed 10D),1,81,10,TIME_LIMIT_10D,10.583042298139683,5870.599039289467,1
Candidate 1: Control Baseline (Fixed 10D),1,82,10,TIME_LIMIT_10D,13.56815450538954,8323.025045237697,1
Candidate 1: Control Baseline (Fixed 10D),1,83,10,TIME_LIMIT_10D,-2.0736972540340015,-1444.6490029495521,0
Candidate 1: Control Baseline (Fixed 10D),1,84,3,TIME_LIMIT_10D,5.24582392092611,3578.739250814245,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,1,4,PROFIT_TARGET,2.8969999999999985,2896.9999999999986,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,2,7,PROFIT_TARGET,2.896999999999998,2980.9260899999977,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,3,2,PROFIT_TARGET,2.8969999999999994,3067.283518827299,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,4,6,PROFIT_TARGET,2.896999999999999,3156.1427223677256,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,5,10,TIME_LIMIT_10D,-2.804612197910189,-3144.0082015029734,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,6,1,PROFIT_TARGET,2.897000000000002,3156.494259437181,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,7,10,TIME_LIMIT_10D,-6.650095539108915,-7455.677365439261,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,8,2,PROFIT_TARGET,2.8970000000000007,3031.946924856299,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,9,10,TIME_LIMIT_10D,2.030474363452327,2186.6200338693684,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,10,10,TIME_LIMIT_10D,-0.8770418019521827,-963.6648350230763,0
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,11,6,PROFIT_TARGET,2.8970000000000002,3155.211439379963,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,12,8,PROFIT_TARGET,2.897000000000007,3246.6179147788075,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,13,4,PROFIT_TARGET,2.897000000000003,3340.6724357699454,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,14,8,PROFIT_TARGET,2.8970000000000007,3437.4517162341976,1
Candidate 2: Profit Target (+3.0%) + 10D Time Stop,1,15,10,PROFIT_TARGET,2.897,3537.0346924535015,1
