strategy,fold,trade_id,net_return_pct,net_pnl,is_win
Candidate A: Baseline Control (P(up) >= 0.55),1,1,3.506061576548527,3506.061576548527,1
Candidate A: Baseline Control (P(up) >= 0.55),1,2,8.867857142857142,9178.769674806072,1
Candidate A: Baseline Control (P(up) >= 0.55),1,3,2.2419103171362926,2526.29285767174,1
Candidate A: Baseline Control (P(up) >= 0.55),1,4,-6.650095539108915,-7661.6498249315955,0
Candidate A: Baseline Control (P(up) >= 0.55),1,5,0.9634215231940824,1036.1547833350535,1
Candidate A: Baseline Control (P(up) >= 0.55),1,6,-0.8202009058917569,-890.620313279322,0
Candidate A: Baseline Control (P(up) >= 0.55),1,7,4.864876908052885,5239.229612006199,1
Candidate A: Baseline Control (P(up) >= 0.55),1,8,11.744441720257061,13263.49580712946,1
Candidate A: Baseline Control (P(up) >= 0.55),1,9,2.138849567917158,2699.179692086574,1
Candidate A: Baseline Control (P(up) >= 0.55),1,10,1.904391849230437,2454.7023215617346,1
Candidate A: Baseline Control (P(up) >= 0.55),1,11,0.7414116061328017,973.8561272529437,1
Candidate A: Baseline Control (P(up) >= 0.55),1,12,-5.79033851446468,-7662.092787855689,0
Candidate A: Baseline Control (P(up) >= 0.55),1,13,-5.292544025811025,-6597.864245494992,0
Candidate A: Baseline Control (P(up) >= 0.55),1,14,-6.169732441471571,-7284.326398472358,0
Candidate A: Baseline Control (P(up) >= 0.55),1,15,7.794466842342675,8634.8030349889,1
Candidate A: Baseline Control (P(up) >= 0.55),1,16,3.1630402384500744,3777.1758754901725,1
Candidate A: Baseline Control (P(up) >= 0.55),1,17,0.6147255932919244,757.2999316096727,1
Candidate A: Baseline Control (P(up) >= 0.55),1,18,2.9413394496058847,3645.804005150348,1
Candidate A: Baseline Control (P(up) >= 0.55),1,19,2.5356191963138346,3235.3555597565874,1
Candidate A: Baseline Control (P(up) >= 0.55),1,20,-1.3309616726826459,-1741.318814968391,0
Candidate A: Baseline Control (P(up) >= 0.55),1,21,6.683272597768281,8627.457212643561,1
Candidate A: Baseline Control (P(up) >= 0.55),1,22,3.7229629747573845,5127.18142619145,1
Candidate A: Baseline Control (P(up) >= 0.55),1,23,-3.6489942399364406,-5212.403892201895,0
Candidate A: Baseline Control (P(up) >= 0.55),1,24,2.5404118710538377,3496.4334664202165,1
Candidate A: Baseline Control (P(up) >= 0.55),1,25,8.492955222829172,11986.020796501722,1
Candidate A: Baseline Control (P(up) >= 0.55),1,26,-2.5484697513279833,-3902.089395624984,0
Candidate A: Baseline Control (P(up) >= 0.55),1,27,7.503150533681496,11195.669109550588,1
Candidate A: Baseline Control (P(up) >= 0.55),1,28,2.6802750902334473,4299.39113723246,1
Candidate A: Baseline Control (P(up) >= 0.55),1,29,-0.08076108344159005,-133.01993974206164,0
Candidate A: Baseline Control (P(up) >= 0.55),1,30,-1.2194931073616089,-2006.9801521253726,0
Candidate A: Baseline Control (P(up) >= 0.55),1,31,-7.262665309791042,-11806.767434433712,0
Candidate A: Baseline Control (P(up) >= 0.55),1,32,6.20346938604105,9352.424938202,1
Candidate A: Baseline Control (P(up) >= 0.55),1,33,-5.8401143472215375,-9350.81882910747,0
Candidate A: Baseline Control (P(up) >= 0.55),1,34,5.207873535478182,7851.536322821284,1
Candidate A: Baseline Control (P(up) >= 0.55),1,35,0.6069633218343713,962.7308866396418,1
Candidate A: Baseline Control (P(up) >= 0.55),1,36,-2.931638940982372,-4678.223645997963,0
Candidate A: Baseline Control (P(up) >= 0.55),1,37,-1.9345894578030913,-2996.6568316705843,0
Candidate A: Baseline Control (P(up) >= 0.55),1,38,-4.073510768520017,-6187.752215938272,0
Candidate A: Baseline Control (P(up) >= 0.55),1,39,-2.8903124473834865,-4211.602638395061,0
Candidate A: Baseline Control (P(up) >= 0.55),1,40,2.3939584071057998,3387.51910563482,1
Candidate A: Baseline Control (P(up) >= 0.55),1,41,-0.05245522134571706,-76.00255794556699,0
