fold_id,model,feature,coefficient,importance
1,logistic_regression,Volume,-7.789449840963116e-10,7.789449840963116e-10
1,logistic_regression,High,-4.745405834574804e-15,4.745405834574804e-15
1,logistic_regression,Open,-4.554180220967664e-15,4.554180220967664e-15
1,logistic_regression,Close,-4.360081513251812e-15,4.360081513251812e-15
1,logistic_regression,Low,-4.144000921567877e-15,4.144000921567877e-15
1,logistic_regression,Adj Close,-2.814419818560594e-15,2.814419818560594e-15
1,random_forest,Volume,,0.18364988121810907
1,random_forest,Adj Close,,0.16616499102615864
1,random_forest,Open,,0.1649500939814027
1,random_forest,Low,,0.163640957247768
1,random_forest,High,,0.16118995036315895
1,random_forest,Close,,0.16040412616340266
1,xgboost,Open,,0.17065048217773438
1,xgboost,Low,,0.1702164262533188
1,xgboost,Volume,,0.1692930907011032
1,xgboost,Close,,0.1692117601633072
1,xgboost,High,,0.16450151801109314
1,xgboost,Adj Close,,0.1561267226934433
2,logistic_regression,High,0.0004997316051739063,0.0004997316051739063
2,logistic_regression,Close,0.0004950483062666608,0.0004950483062666608
2,logistic_regression,Open,0.0004934775170675028,0.0004934775170675028
2,logistic_regression,Low,0.0004879099499035453,0.0004879099499035453
2,logistic_regression,Adj Close,0.0004407795264564706,0.0004407795264564706
2,logistic_regression,Volume,-4.6146062116546735e-11,4.6146062116546735e-11
2,random_forest,Volume,,0.18072907454870277
2,random_forest,High,,0.16583332545650722
2,random_forest,Open,,0.16493962621193062
2,random_forest,Low,,0.16466182970379237
2,random_forest,Adj Close,,0.16349400249452817
2,random_forest,Close,,0.16034214158453886
2,xgboost,Open,,0.177015483379364
2,xgboost,High,,0.17097482085227966
2,xgboost,Low,,0.17062808573246002
2,xgboost,Volume,,0.1657925546169281
2,xgboost,Close,,0.16444309055805206
2,xgboost,Adj Close,,0.15114594995975494
3,logistic_regression,Volume,8.042795719537603e-10,8.042795719537603e-10
3,logistic_regression,Low,8.332018140718648e-16,8.332018140718648e-16
3,logistic_regression,Close,8.077274536890277e-16,8.077274536890277e-16
3,logistic_regression,High,7.542824947828332e-16,7.542824947828332e-16
3,logistic_regression,Open,7.533899776282318e-16,7.533899776282318e-16
3,logistic_regression,Adj Close,6.710610208157032e-16,6.710610208157032e-16
3,random_forest,Volume,,0.18257573756079148
3,random_forest,High,,0.16678830361837044
3,random_forest,Low,,0.16555542924415542
3,random_forest,Adj Close,,0.16502201284358028
3,random_forest,Open,,0.1620176225773825
3,random_forest,Close,,0.1580408941557199
3,xgboost,Low,,0.17454728484153748
3,xgboost,Open,,0.17453043162822723
3,xgboost,High,,0.16865381598472595
3,xgboost,Close,,0.16524706780910492
3,xgboost,Volume,,0.16059908270835876
3,xgboost,Adj Close,,0.15642236173152924
4,logistic_regression,High,-3.775253262379959e-05,3.775253262379959e-05
4,logistic_regression,Open,-3.752309147074011e-05,3.752309147074011e-05
4,logistic_regression,Close,-3.7468934369224375e-05,3.7468934369224375e-05
4,logistic_regression,Low,-3.6447639534903684e-05,3.6447639534903684e-05
4,logistic_regression,Adj Close,-3.422429054111694e-05,3.422429054111694e-05
4,logistic_regression,Volume,9.394338423424116e-10,9.394338423424116e-10
4,random_forest,Volume,,0.18190121320562838
4,random_forest,Low,,0.1653496042431924
4,random_forest,Adj Close,,0.1650911111805265
4,random_forest,High,,0.16407482733083711
4,random_forest,Open,,0.16328973465238725
4,random_forest,Close,,0.16029350938742842
4,xgboost,Open,,0.17905180156230927
4,xgboost,Volume,,0.16841542720794678
4,xgboost,High,,0.16803817451000214
4,xgboost,Low,,0.16724611818790436
4,xgboost,Adj Close,,0.15900936722755432
4,xgboost,Close,,0.15823909640312195
5,logistic_regression,Adj Close,2.123765051421724e-05,2.123765051421724e-05
5,logistic_regression,High,2.0981340217712578e-05,2.0981340217712578e-05
5,logistic_regression,Close,2.0976437798308393e-05,2.0976437798308393e-05
5,logistic_regression,Low,2.088928104060017e-05,2.088928104060017e-05
5,logistic_regression,Open,2.0552506667109817e-05,2.0552506667109817e-05
5,logistic_regression,Volume,7.465511137950824e-10,7.465511137950824e-10
5,random_forest,Volume,,0.18361086168331195
5,random_forest,Adj Close,,0.1656686456060632
5,random_forest,Low,,0.1637566941480768
5,random_forest,High,,0.1628411618026129
5,random_forest,Open,,0.16250682255020943
5,random_forest,Close,,0.1616158142097258
5,xgboost,High,,0.17126309871673584
5,xgboost,Low,,0.1704515814781189
5,xgboost,Open,,0.1702800989151001
5,xgboost,Volume,,0.16784022748470306
5,xgboost,Adj Close,,0.16268187761306763
5,xgboost,Close,,0.15748316049575806
