fold_id,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,model,accuracy,precision,recall,f1,roc_auc,training_time,prediction_time
1,2000-01-03,2003-08-15,2003-08-18,2007-05-08,944,939,logistic_regression,0.4440894568690096,0.0,0.0,0.0,0.5116274796254949,0.04280669998843223,0.00437370000872761
1,2000-01-03,2003-08-15,2003-08-18,2007-05-08,944,939,random_forest,0.4483493077742279,0.7,0.013409961685823755,0.02631578947368421,0.49968301221092093,0.6162877000169829,0.1935001000529155
1,2000-01-03,2003-08-15,2003-08-18,2007-05-08,944,939,xgboost,0.4472843450479233,0.6153846153846154,0.01532567049808429,0.029906542056074768,0.48704025285518715,0.29782139998860657,0.007665299926884472
2,2000-01-03,2007-05-08,2007-05-09,2011-02-22,1883,939,logistic_regression,0.4984025559105431,0.4984025559105431,1.0,0.6652452025586354,0.4535222385540857,0.015285499976016581,0.0018491999944671988
2,2000-01-03,2007-05-08,2007-05-09,2011-02-22,1883,939,random_forest,0.5143769968051118,0.5833333333333334,0.08974358974358974,0.15555555555555556,0.5285875660079481,0.4174986999714747,0.13643559999763966
2,2000-01-03,2007-05-08,2007-05-09,2011-02-22,1883,939,xgboost,0.5260915867944622,0.5138387484957883,0.9123931623931624,0.657428791377983,0.499335383889524,0.3582655000500381,0.007715599960647523
3,2000-01-03,2011-02-22,2011-02-23,2014-12-18,2822,939,logistic_regression,0.4845580404685836,0.4845580404685836,1.0,0.6527977044476327,0.5139678503314866,0.007262200000695884,0.003096099942922592
3,2000-01-03,2011-02-22,2011-02-23,2014-12-18,2822,939,random_forest,0.483493077742279,0.47699386503067487,0.6835164835164835,0.5618789521228545,0.4858573244936881,0.45338039996568114,0.12943980004638433
3,2000-01-03,2011-02-22,2011-02-23,2014-12-18,2822,939,xgboost,0.5058572949946751,0.49375866851595007,0.7824175824175824,0.6054421768707483,0.5067568794841522,0.3112841999391094,0.007794099976308644
4,2000-01-03,2014-12-18,2014-12-19,2018-10-09,3761,939,logistic_regression,0.4685835995740149,0.46153846153846156,0.012048192771084338,0.023483365949119372,0.5006420238778242,0.019067100016400218,0.001984699978493154
4,2000-01-03,2014-12-18,2014-12-19,2018-10-09,3761,939,random_forest,0.5079872204472844,0.5697674418604651,0.29518072289156627,0.3888888888888889,0.5112422479031773,0.5733609999297187,0.2232694000704214
4,2000-01-03,2014-12-18,2014-12-19,2018-10-09,3761,939,xgboost,0.48562300319488816,0.5460122699386503,0.178714859437751,0.2692889561270802,0.5038430365452741,0.3176613000687212,0.00797239993698895
5,2000-01-03,2018-10-09,2018-10-10,2022-07-27,4700,939,logistic_regression,0.5143769968051118,0.5143769968051118,1.0,0.679324894514768,0.5075097163197849,0.02738159999717027,0.0038783999625593424
5,2000-01-03,2018-10-09,2018-10-10,2022-07-27,4700,939,random_forest,0.48562300319488816,0.5,0.2670807453416149,0.3481781376518219,0.4914618974973666,0.6311057000420988,0.16738209989853203
5,2000-01-03,2018-10-09,2018-10-10,2022-07-27,4700,939,xgboost,0.5143769968051118,0.5281837160751566,0.5238095238095238,0.525987525987526,0.5119978387998982,0.3152089000213891,0.007219600025564432
